번호,증상,위험 질환,검사 제안,"암에 대한 설명 (영문명, 상병코드 및 기본 설명)"
1,고환에 멍울 발견,고환암,고환 초음파 고환 검사,Testicular Cancer (C62) - 고환에서 발생하는 악성 종양으로 젊은 남성에게 흔합니다.
2,음낭 내 통증,고환암,고환 초음파,Testicular Cancer (C62) - 고환에서 발생하는 악성 종양으로 조기 발견 시 치료 성공률이 높습니다.
3,고환 크기 변화,고환암,고환 검사,Testicular Cancer (C62) - 고환에서 발생하는 악성 종양으로 대부분 진행이 빠릅니다.
4,허리 통증,전립선암,전립선 특이항원(PSA) 검사 경직장 초음파,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 중년 이상의 남성에게 흔한 암입니다.
5,배뇨 시 통증,전립선암,경직장 초음파 전립선 조직검사,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 초기에는 증상이 거의 없습니다.
6,잦은 배뇨,전립선암,전립선 초음파 PSA 검사,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 진행되면 배뇨 장애가 발생할 수 있습니다.
7,혈뇨,방광암,소변 세포검사 방광 내시경,Bladder Cancer (C67) - 방광 내벽에서 발생하는 악성 종양으로 흡연이 주요 위험 요소입니다.
8,잦은 소변,방광암,방광 내시경 복부 초음파,Bladder Cancer (C67) - 방광 내벽에서 발생하는 악성 종양으로 조기 발견 시 치료 효과가 높습니다.
9,복부 불편감,방광암,복부 CT 방광 내시경,Bladder Cancer (C67) - 방광 내벽에서 발생하는 악성 종양으로 재발 가능성이 높은 암입니다.
10,체중 감소(급격),췌장암,복부 CT 복부 초음파,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
11,황달,췌장암,간 기능 검사 복부 CT,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 초기 발견이 어렵습니다.
12,복부 통증,췌장암,복부 초음파 혈액검사,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 전이 가능성이 높습니다.
13,만성 기침,폐암,흉부 X선 저선량 CT 스캔,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 흡연이 가장 큰 위험 요인입니다.
14,호흡 곤란,폐암,흉부 CT,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 조기 발견이 어렵습니다.
15,피 섞인 가래,폐암,기관지 내시경,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 조기 진단이 중요합니다.
16,흉통,폐암,흉부 X선 CT,Lung Cancer (C34) - 폐의 기관지 또는 폐포에서 발생하는 악성 종양으로 전이 가능성이 높습니다.
17,변비,대장암,대장내시경,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 초기에는 증상이 거의 없습니다.
18,혈변,대장암,대장내시경 분변잠혈 검사,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 정기 검진이 중요합니다.
19,배변 습관 변화,대장암,대장내시경,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 예방 가능한 암입니다.
20,복부 팽만감,대장암,대장내시경 CT 검사,Colorectal Cancer (C18-C20) - 대장 또는 직장에서 발생하는 악성 종양으로 식습관과 관련이 있습니다.
21,소화 불량,위암,위내시경 조직검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
22,속쓰림,위암,위내시경 CT 검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 초기 증상이 비특이적입니다.
23,식욕부진,위암,위내시경,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 조기 발견이 중요합니다.
24,구역질 및 구토,위암,위내시경,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 진행 시 전이가 빠릅니다.
25,복부 통증,위암,위내시경 CT 검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 식욕 저하와 체중 감소가 나타날 수 있습니다.
26,피부 황달,간암,간 기능 검사 간 초음파,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
27,복부 팽만,간암,복부 초음파 CT 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 초기에는 증상이 거의 없습니다.
28,체중 감소(간기능 저하),간암,간 기능 검사 CT 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 정기적인 간 검사가 중요합니다.
29,피로감,간암,간 기능 검사 혈액검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 간 기능 저하가 주요 증상입니다.
30,오른쪽 윗배 통증,간암,복부 초음파 간 기능 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 전이 가능성이 높습니다.
31,뼈 통증,전립선암,PSA 검사 뼈 스캔,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 뼈로 전이될 수 있습니다.
32,사타구니 통증,고환암,고환 초음파 혈액검사,Testicular Cancer (C62) - 고환에서 발생하는 악성 종양으로 조기 발견이 중요합니다.
33,하지 부종,전립선암,경직장 초음파 PSA 검사,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 림프절 전이가 발생할 수 있습니다.
34,두통,뇌종양,뇌 MRI 뇌 CT,Brain Cancer (C71) - 뇌에서 발생하는 악성 종양으로 증상이 다양하게 나타납니다.
35,시야 장애,뇌종양,뇌 MRI 뇌 CT,"Brain Cancer (C71) - 뇌에서 발생하는 악성 종양으로 시각, 청각 등 신경학적 이상이 나타날 수 있습니다."
36,신체 한쪽 마비,뇌종양,뇌 MRI 뇌파 검사,Brain Cancer (C71) - 뇌에서 발생하는 악성 종양으로 신경학적 기능 저하가 특징입니다.
37,복부 압박감,전립선암,전립선 초음파 PSA 검사,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 배뇨 장애와 통증이 나타날 수 있습니다.
38,배뇨 곤란,전립선암,PSA 검사 경직장 초음파,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 소변 줄기 약화가 나타날 수 있습니다.
39,성욕 감소,전립선암,PSA 검사 혈액검사,Prostate Cancer (C61) - 전립선에서 발생하는 악성 종양으로 호르몬 불균형이 발생할 수 있습니다.
40,심한 피로감,림프종,혈액검사 림프절 생검,Lymphoma (C81-C85) - 림프절에서 발생하는 혈액암으로 전신 피로와 림프절 종대가 나타날 수 있습니다.
41,림프절 비대,림프종,림프절 초음파 조직검사,Lymphoma (C81-C85) - 림프절에서 발생하는 혈액암으로 전신 증상과 체중 감소가 나타날 수 있습니다.
42,대사 이상 체중 감소,림프종,PET 스캔 혈액검사,Lymphoma (C81-C85) - 림프절에서 발생하는 혈액암으로 발열과 야간 발한이 특징입니다.
43,야간 발한,림프종,림프절 조직검사 혈액검사,Lymphoma (C81-C85) - 림프절에서 발생하는 혈액암으로 조기 진단이 중요합니다.
44,심한 가려움,림프종,혈액검사 PET 스캔,Lymphoma (C81-C85) - 림프절에서 발생하는 혈액암으로 전신 증상과 면역력 저하가 나타날 수 있습니다.
45,지속적인 피로감,백혈병,혈액검사 골수검사,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 빈혈과 출혈 경향이 나타납니다.
46,출혈 경향,백혈병,혈액검사 뼈 조직검사,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 면역 기능 저하가 나타날 수 있습니다.
47,빈혈,백혈병,혈액검사 골수검사,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 피로감과 감염에 취약해질 수 있습니다.
48,감염 빈번,백혈병,혈액검사 면역 기능 검사,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 백혈구 기능 이상이 나타납니다.
49,관절통,백혈병,혈액검사 뼈 스캔,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 뼈와 관절에 통증이 발생할 수 있습니다.
50,피부 점 출혈,백혈병,혈액검사 조직검사,Leukemia (C91-C95) - 혈액과 골수에서 발생하는 악성 종양으로 출혈 경향과 빈혈이 나타납니다.